final_equity,total_return_pct,daily_sharpe,daily_sortino,max_drawdown_pct,n_round_trades,hit_rate,profit_factor
99849.43624208169,-0.14913780506045082,-21.97796931916438,-21.97796931916438,-0.11565048227257899,39,0.07692307692307693,0.026505000290721968
99875.02829983982,-0.123861918842183,-20.582717363133096,-20.582717363133096,-0.09581508980377684,39,0.15384615384615385,0.05429304083607454
99880.73761705644,-0.11822315800742444,-20.214082072059455,-20.214082072059455,-0.09139033601079105,39,0.15384615384615385,0.063748395763512
99870.66219201346,-0.12817407519922774,-20.848944681495446,-20.848944681495446,-0.09919892544472103,39,0.15384615384615385,0.04754080384588461
99839.53630094348,-0.15891548249368226,-22.425881753565193,-22.425881753565193,-0.12332414950053565,39,0.05128205128205128,0.0206798500591577
99840.03345210943,-0.15842447054434938,-22.404414649918937,-22.404414649918937,-0.12293878826960575,39,0.05128205128205128,0.02090459629467616
99876.61723146432,-0.12229262261197471,-20.4825318990021,-20.4825318990021,-0.094583647183271,39,0.15384615384615385,0.05685038560537759
99792.17956243397,-0.20568769964371958,-24.08195389863999,-24.08195389863999,-0.16003616367730927,39,0.05128205128205128,0.004081919706680409
99849.69679236093,-0.1488804728859927,-21.965572876729503,-21.965572876729503,-0.1154485285133847,39,0.07692307692307693,0.026683271957833814
99860.07511937291,-0.13863034401913055,-21.443799590953915,-21.443799590953915,-0.10740443093224303,39,0.10256410256410256,0.03523209071305623
