timestamp,side,shares,fill_price,commission,spread_cost
2025-11-24 09:30:00-05:00,SELL,18,273.08296905093914,0.009000000000000001,0.4917060241699219
2025-11-24 09:50:00-05:00,BUY,18,273.7771209284179,0.009000000000000001,0.49264183959960944
2025-11-24 11:07:00-05:00,SELL,18,274.85239406569804,0.009000000000000001,0.49489200439453124
2025-11-24 11:19:00-05:00,BUY,18,275.16763955327764,0.009000000000000001,0.49514397583007813
2025-11-24 11:51:00-05:00,BUY,18,274.55745983266957,0.009000000000000001,0.4940460021972657
2025-11-24 11:52:00-05:00,SELL,18,274.6824348119657,0.009000000000000001,0.49458598022460937
2025-11-24 13:05:00-05:00,SELL,18,275.49717755656735,0.009000000000000001,0.49605298461914066
2025-11-24 13:09:00-05:00,BUY,18,275.64780349291357,0.009000000000000001,0.49600799560546877
2025-11-24 13:11:00-05:00,SELL,18,275.63214430194733,0.009000000000000001,0.49629600219726566
2025-11-24 13:15:00-05:00,BUY,18,276.07793318389656,0.009000000000000001,0.496781982421875
2025-11-24 13:20:00-05:00,SELL,18,276.24193528446426,0.009000000000000001,0.49739397583007816
2025-11-24 13:24:00-05:00,BUY,18,276.30801746217463,0.009000000000000001,0.4971960021972656
2025-11-24 15:19:00-05:00,SELL,18,276.47028657044285,0.009000000000000001,0.4978051391601563
2025-11-24 15:20:00-05:00,BUY,18,276.5830989842078,0.009000000000000001,0.4976909912109375
2025-11-24 15:38:00-05:00,SELL,18,276.66190640040026,0.009000000000000001,0.4981501647949219
2025-11-24 15:41:00-05:00,BUY,18,276.88321289421873,0.009000000000000001,0.49823102416992193
2025-11-24 15:50:00-05:00,BUY,18,275.7778498011881,0.009000000000000001,0.4962420043945313
2025-11-24 15:51:00-05:00,SELL,18,275.91205386091235,0.009000000000000001,0.4968000000000001
2025-11-24 15:52:00-05:00,BUY,18,275.36051104991566,0.009000000000000001,0.4954910339355469
2025-11-24 15:53:00-05:00,SELL,18,275.4921742685379,0.009000000000000001,0.4960439758300782
2025-11-25 09:32:00-05:00,SELL,17,278.41674866102454,0.0085,0.47345933837890625
2025-11-25 09:34:00-05:00,BUY,17,278.6337705237238,0.0085,0.47352652282714847
2025-11-25 09:35:00-05:00,SELL,17,279.48092361860694,0.0085,0.47526901245117187
2025-11-25 09:38:00-05:00,BUY,17,279.71910770637226,0.0085,0.4753710083007813
2025-11-25 11:29:00-05:00,BUY,17,277.9185158282142,0.0085,0.4723109771728516
2025-11-25 11:31:00-05:00,SELL,17,277.7614704684349,0.0085,0.4723450103759766
2025-11-25 11:36:00-05:00,BUY,18,277.818508385513,0.009000000000000001,0.49991401977539063
2025-11-25 11:37:00-05:00,SELL,18,277.71207825307096,0.009000000000000001,0.5000410766601563
2025-11-25 11:58:00-05:00,SELL,17,278.5911925692711,0.0085,0.47375598754882814
2025-11-25 11:59:00-05:00,BUY,17,278.74879739921164,0.0085,0.47372200622558597
2025-11-25 12:12:00-05:00,SELL,17,278.86112606003104,0.0085,0.4742150207519531
2025-11-25 12:13:00-05:00,BUY,17,278.9488428119165,0.0085,0.4740619750976563
2025-11-25 12:25:00-05:00,SELL,17,279.1411271425576,0.0085,0.4746911743164063
2025-11-25 12:28:00-05:00,BUY,17,279.26895210500714,0.0085,0.4746059875488281
2025-11-25 12:58:00-05:00,BUY,17,278.69876315055865,0.0085,0.47363697509765623
2025-11-25 13:01:00-05:00,SELL,17,278.5612033489482,0.0085,0.47370498962402346
